jugador,equipo,precio,rating,win_rounds,loss_rounds, padding_rounds, elim_rounds
nafany,TDK,203,111,1,1,0,2
sugaR,TDK,195,105,1,1,0,2
Xant3r,TDK,194,107,1,1,0,2
ArtFr0st,TDK,211,114,1,1,0,2

NickelBack,SPARTA,182,93,0,1,0,3
Lack1,SPARTA,196,105,0,1,0,3
El1an,SPARTA,188,98,0,1,0,3
Forester,SPARTA,200,109,0,1,0,3
TRAVIS,SPARTA,204,114,0,1,0,3

glowiing,CYBERSHOKE,202,111,0,1,0,3
alpha,CYBERSHOKE,179,92,0,1,0,3
bl1x1,CYBERSHOKE,195,103,0,1,0,3
Alkaren,CYBERSHOKE,189,103,0,1,0,3
Mokuj1n,CYBERSHOKE,200,113,0,1,0,3

4X1s,Ursa,184,110,0,1,0,3
k0s,Ursa,190,114,0,1,0,3
karnez,Ursa,191,114,0,1,0,3
Alv,Ursa,195,119,0,1,0,3
Salazar,Ursa,176,96,0,1,0,3

YumsaN,ex-Ruby,184,105,0,1,0,3
danistzz,ex-Ruby,188,108,0,1,0,3
H4SAN4TOR,ex-Ruby,183,104,0,1,0,3
Kaide,ex-Ruby,198,114,0,1,0,3
sh1nejezzz,ex-Ruby,179,103,0,1,0,3

Kurama,Oxuji,187,106,0,1,0,3
k1ssly,Oxuji,175,97,0,1,0,3
fluffy,Oxuji,190,109,0,1,0,3
ayano,Oxuji,183,104,0,1,0,3
HeCkBNk,Oxuji,184,106,0,1,0,3

hades,Betclic,200,100,6,30,34,18
Demho,Betclic,200,100,6,30,34,18
Prism,Betclic,200,100,6,30,34,18
eskyy,Betclic,200,100,6,30,34,18
Dr3nquu,Betclic,200,100,6,30,34,18

dav1deus,redCanids,195,103,14,20,66,34
drop,redCanids,195,103,14,20,66,34
chayJESUS,redCanids,195,103,14,20,66,34
kauez,redCanids,195,103,14,20,66,34
reNTU,redCanids,195,103,14,20,66,34

junior,Voca,199,126,0,3,0,2
Infinite,Voca,181,109,0,3,0,2
nosraC,Voca,176,101,0,3,0,2
snav,Voca,184,112,0,3,0,2
Jeorge,Voca,186,114,0,3,0,2

hazr,SemperFi,200,100,16,141,5,117
keen,SemperFi,200,100,16,141,5,117
shadiy,SemperFi,200,100,16,141,5,117
addict,SemperFi,200,100,16,141,5,117
savage,SemperFi,200,100,16,141,5,117
